,subject,speed,lf_or_hf
0,YA03,155.0,AB
1,YA03,195.0,AB
2,YA03,211.0,AB
3,YA03,30.0,AB
4,YA03,38.0,AB
5,YA03,97.0,AB
6,YA03,105.0,AB
7,YA03,124.0,AB
8,YA03,150.0,AB
9,YA04,30.0,AB
10,YA04,47.0,AB
11,YA04,97.0,AB
12,YA04,110.0,AB
13,YA04,126.0,AB
14,YA04,155.0,AB
15,YA04,180.0,AB
16,YA05,30.0,AB
17,YA05,47.0,AB
18,YA05,91.0,AB
19,YA05,100.0,AB
20,YA05,108.0,AB
21,YA05,125.0,AB
22,YA05,165.0,AB
23,YA05,175.0,AB
24,YA05,185.0,AB
25,YA06,30.0,AB
26,YA06,31.0,AB
27,YA06,65.0,AB
28,YA06,99.0,AB
29,YA06,105.0,AB
30,YA06,110.0,AB
31,YA06,136.0,AB
32,YA06,160.0,AB
33,YA06,170.0,AB
34,YA07,30.0,AB
35,YA07,50.0,AB
36,YA07,75.0,AB
37,YA07,105.0,AB
38,YA07,115.0,AB
39,YA07,125.0,AB
40,YA07,162.0,AB
41,YA07,175.0,AB
42,YA07,188.0,AB
43,YA08,30.0,AB
44,YA08,38.0,AB
45,YA08,95.0,AB
46,YA08,99.0,AB
47,YA08,112.0,AB
48,YA08,125.0,AB
49,YA08,169.0,AB
50,YA08,183.0,AB
51,YA08,197.0,AB
52,YA09,30.0,AB
53,YA09,32.0,AB
54,YA09,105.0,AB
55,YA09,107.0,AB
56,YA09,124.0,AB
57,YA09,140.0,AB
58,YA09,155.0,AB
59,YA09,168.0,AB
60,YA09,181.0,AB
61,YA10,30.0,AB
62,YA10,52.0,AB
63,YA10,108.0,AB
64,YA10,112.0,AB
65,YA10,136.0,AB
66,YA10,160.0,AB
67,YA10,182.0,AB
68,YA10,197.0,AB
69,YA10,212.0,AB
70,YA11,30.0,AB
71,YA11,33.0,AB
72,YA11,102.0,AB
73,YA11,110.0,AB
74,YA11,124.0,AB
75,YA11,145.0,AB
76,YA11,167.0,AB
77,YA11,181.0,AB
78,YA11,195.0,AB
79,YA12,30.0,AB
80,YA12,53.0,AB
81,YA12,97.0,AB
82,YA12,115.0,AB
83,YA12,139.0,AB
84,YA12,180.0,AB
85,YA12,168.0,AB
86,YA12,182.0,AB
87,YA12,196.0,AB
88,YA14,30.0,AB
89,YA14,62.0,AB
90,YA14,99.0,AB
91,YA14,132.0,AB
92,YA14,145.0,AB
93,YA14,165.0,AB
94,YA14,162.0,AB
95,YA14,175.0,AB
96,YA14,188.0,AB
97,YA15,30.0,AB
98,YA15,59.0,AB
99,YA15,113.0,AB
100,YA15,130.0,AB
101,YA15,170.0,AB
102,YA15,189.0,AB
103,YA15,205.0,AB
104,YA15,220.0,AB
105,YA16,30.0,AB
106,YA16,70.0,AB
107,YA16,130.0,AB
108,YA16,142.0,AB
109,YA16,164.0,AB
110,YA16,185.0,AB
111,YA16,189.0,AB
112,YA16,204.0,AB
113,YA16,219.0,AB
114,YA17,30.0,AB
115,YA17,55.0,AB
116,YA17,97.0,AB
117,YA17,110.0,AB
118,YA17,131.0,AB
119,YA17,165.0,AB
120,YA17,165.0,AB
121,YA17,178.0,AB
122,YA17,191.0,AB
123,YA18,30.0,AB
124,YA18,48.0,AB
125,YA18,125.0,AB
126,YA18,142.0,AB
127,YA18,165.0,AB
128,YA18,188.0,AB
129,YA18,181.0,AB
130,YA18,196.0,AB
131,YA18,211.0,AB
132,YA19,30.0,AB
133,YA19,44.0,AB
134,YA19,70.0,AB
135,YA19,78.0,AB
136,YA19,112.0,AB
137,YA19,145.0,AB
138,YA19,150.0,AB
139,YA19,162.0,AB
140,YA19,174.0,AB
141,YA20,30.0,AB
142,YA20,71.0,AB
143,YA20,116.0,AB
144,YA20,120.0,AB
145,YA20,145.0,AB
146,YA20,175.0,AB
147,YA20,174.0,AB
148,YA20,188.0,AB
149,YA20,202.0,AB
150,AB06,90.0,AB
151,AB06,100.0,AB
152,AB06,110.0,AB
153,AB06,120.0,AB
154,AB06,130.0,AB
155,AB06,140.0,AB
156,AB07,90.0,AB
157,AB07,104.0,AB
158,AB07,118.0,AB
159,AB07,132.0,AB
160,AB07,146.0,AB
161,AB07,160.0,AB
162,AB09,95.0,AB
163,AB09,105.0,AB
164,AB09,115.0,AB
165,AB09,125.0,AB
166,AB09,135.0,AB
167,AB09,145.0,AB
168,AB11,90.0,AB
169,AB11,102.0,AB
170,AB11,114.0,AB
171,AB11,126.0,AB
172,AB11,138.0,AB
173,AB11,150.0,AB
174,AB12,110.0,AB
175,AB12,118.0,AB
176,AB12,126.0,AB
177,AB12,134.0,AB
178,AB12,142.0,AB
179,AB12,150.0,AB
180,ST01,35.0,LF
181,ST01,39.0,LF
182,ST01,43.0,LF
183,ST01,47.0,LF
184,ST01,51.0,LF
185,ST01,55.0,LF
186,ST02,60.0,HF
187,ST02,65.0,HF
188,ST02,70.0,HF
189,ST02,75.0,HF
190,ST02,80.0,HF
191,ST03,45.0,HF
192,ST03,50.0,HF
193,ST03,55.0,HF
194,ST03,60.0,HF
195,ST03,65.0,HF
196,ST03,70.0,HF
197,ST04,25.0,LF
198,ST04,29.0,LF
199,ST04,33.0,LF
200,ST04,37.0,LF
201,ST04,41.0,LF
202,ST04,45.0,LF
203,ST05,90.0,HF
204,ST05,96.0,HF
205,ST05,102.0,HF
206,ST05,108.0,HF
207,ST05,114.0,HF
208,ST05,120.0,HF
209,ST06,35.0,LF
210,ST06,38.0,LF
211,ST06,41.0,LF
212,ST06,44.0,LF
213,ST06,47.0,LF
214,ST06,50.0,LF
215,ST07,40.0,HF
216,ST07,46.0,HF
217,ST07,52.0,HF
218,ST07,58.0,HF
219,ST07,64.0,HF
220,ST07,70.0,HF
221,ST08,37.0,LF
222,ST08,39.0,LF
223,ST08,41.0,LF
